Quinnipiac 9/25 - 9/29	942 LV	3.2	50	45	Trump +5
InsiderAdvantage 9/29 - 9/30	800 LV	3.0	48	48	Tie
Atlas Intel 9/20 - 9/25	1200 LV	3.0	50	49	Trump +1
CBS News 9/20 - 9/24	1441 LV	3.3	51	49	Trump +2
FOX News 9/20 - 9/24	707 LV	3.5	48	51	Harris +3
Cook Political Report 9/19 - 9/25	411 LV	—	49	47	Trump +2
Bloomberg 9/19 - 9/25	913 LV	3.0	49	49	Tie
Marist 9/19 - 9/24	1220 LV	3.9	50	49	Trump +1
Rasmussen Reports 9/19 - 9/22	1152 LV	3.0	50	47	Trump +3
NY Times/Siena 9/17 - 9/21	682 LV	—	49	45	Trump +4
AmGreatness/TIPP 9/16 - 9/18	835 LV	3.5	48	48	Tie
The Hill/Emerson 9/15 - 9/18	975 LV	3.1	50	47	Trump +3
Atlanta Journal-Constitution 9/9 - 9/15	1000 LV	3.1	47	44	Trump +3
Trafalgar Group (R) 9/11 - 9/13	1098 LV	2.9	46	45	Trump +1
Quinnipiac 9/4 - 9/8	969 LV	3.2	49	46	Trump +3
InsiderAdvantage 8/29 - 8/31	800 LV	3.7	48	48	Tie
The Hill/Emerson 8/25 - 8/28	800 LV	3.4	48	49	Harris +1
NY Times/Siena 8/9 - 8/14	661 LV	—	50	46	Trump +4
Cook Political Report 7/26 - 8/2	405 LV	—	48	48	Tie 
PPP (D) 7/29 - 7/30	662 LV	3.8	47	48	Harris +1
Fabrizio/Anzalone 7/24 - 7/31	600 LV	4.0	48	48	Tie 
Landmark Communications 7/22 - 7/22	400 LV	5.0	48	47	Trump +1
FOX 5 Atlanta/InsiderAdvantage 7/15 - 7/16	800 LV	4.1	47	37	Trump +10
