AmGreatness/TIPP 9/23 - 9/25	736 LV	3.7	50	49	Harris +1
Atlas Intel 9/20 - 9/25	858 LV	3.0	51	48	Harris +3
Bloomberg 9/19 - 9/25	516 LV	4.0	52	45	Harris +7
CNN* 8/23 - 8/29	626 LV	4.9	48	47	Harris +1
Cook Political Report 7/26 - 8/2	403 LV	—	45	48	Trump +3
Cook Political Report 9/19 - 9/25	409 LV	—	48	47	Harris +1
GSG/NSOR 9/23 - 9/29	407 LV	4.9	47	48	Harris +1
InsiderAdvantage 8/29 - 8/31	800 LV	3.5	47	48	Trump +1
InsiderAdvantage 9/29 - 9/30	800 LV	3.0	49	48	Trump +1
NY Times/Siena 8/12 - 8/15	677 LV	—	47	48	Trump +1
Noble Predictive Insights 9/9 - 9/16	692 LV	3.7	48	47	Harris +1
Rasmussen Reports 8/13 - 8/19	980 LV	—	46	48	Trump +2
Rasmussen Reports 9/19 - 9/22	738 LV	3.0	48	49	Trump +1
TTrafalgar Group (R) 10/10 - 10/13	1088 LV	2.9	45	46	Harris +1
The Hill/Emerson 10/5 - 10/8	900 LV	3.2	47	48	Harris +1
The Hill/Emerson 8/25 - 8/28	1168 LV	2.8	49	48	Harris +1
The Hill/Emerson 9/15 - 9/18	895 LV	3.2	48	48	
Tie Trafalgar Group (R) 9/11 - 9/13	1079 LV	2.9	45	44	Harris +1
Trafalgar Group (R) 10/10 - 10/13	1088 LV	2.9	45	46	Harris +1
Trafalgar Group (R) 8/6 - 8/8	1000 LV	2.9	45	48	Trump +3
