AmGreatness/TIPP 8/12 - 8/14	976 LV	3.4	47	47	Tie 
Atlas Intel 9/20 - 9/25	1077 LV	3.0	48	50	Trump +2
Bloomberg 9/19 - 9/25	785 LV	3.0	51	48	Harris +3
CBS News 9/3 - 9/6	958 LV	4.0	51	49	Harris +2
Cook Political Report 7/26 - 8/2	404 LV	—	49	46	Harris +3
Cook Political Report 9/19 - 9/25	411 LV	—	49	47	Harris +2
Fabrizio/Anzalone 9/11 - 9/14	600 LV	4.0	49	48	Harris +1
InsiderAdvantage 10/8 - 10/9	800 LV	3.5	48	48	Tie
InsiderAdvantage 8/6 - 8/8	800 LV	3.4	48	49	Trump +1
InsiderAdvantage 9/11 - 9/12	800 LV	3.5	49	47	Harris +2
Marist 9/12 - 9/17	1194 LV	3.6	50	49	Harris +1
Marquette 7/24 - 8/1	801 LV	4.8	50	49	Harris +1
Marquette 8/28 - 9/5	738 LV	4.7	52	48	Harris +4
Marquette 9/18 - 9/26	798 LV	4.4	52	48	Harris +4
NY Times/Siena 8/5 - 8/8	661 LV	—	50	46	Harris +4
NY Times/Siena 9/21 - 9/26	680 LV	—	49	47	Harris +2
Quinnipiac 10/3 - 10/7	1073 LV	3.0	47	49	Trump +2
Quinnipiac 9/12 - 9/16	1075 LV	3.0	49	48	Harris +1
Rasmussen Reports 8/13 - 8/19	1099 LV	—	48	47	Harris +1
Rasmussen Reports 9/19 - 9/22	1071 LV	3.0	49	49	Tie 
The Hill/Emerson 10/5 - 10/8	1000 LV	3.0	49	49	Tie
The Hill/Emerson 8/25 - 8/28	850 LV	3.3	48	49	Trump +1
The Hill/Emerson 9/15 - 9/18	1000 LV	3.0	48	49	Trump +1
Trafalgar Group (R) 8/28 - 8/30	1083 LV	2.9	46	47	Trump +1
Trafalgar Group (R) 9/28 - 9/30	1079 LV	2.9	46	47	Trump +1
co/efficient 9/4 - 9/6	917 LV	3.1	47	47	Tie 
