st,biden_pop,trump_pop,biden_col,trump_col,margin
AL,849624,1441170,0,9,-591546
AK,153778,189951,0,3,-36173
AZ,1672143,1661686,11,0,10457
AR,423932,760647,0,6,-336715
CA,11110639,6006518,55,0,5104121
CO,1804352,1364607,9,0,439745
CT,1080831,714717,7,0,366114
DE,296268,200603,3,0,95665
DC,317323,18586,3,0,298737
FL,5297045,5668731,0,29,-371686
GA,2473633,2461854,16,0,11779
HI,366130,196864,4,0,169266
ID,287021,554119,0,4,-267098
IL,3471915,2446891,20,0,1025024
IN,1242498,1729857,0,11,-487359
IA,759061,897672,0,6,-138611
KS,570323,771406,0,6,-201083
KY,772474,1326646,0,8,-554172
LA,856034,1255776,0,8,-399742
ME,435072,360737,2,0,74335
ME1,266376,164045,1,0,102331
ME2,168696,196692,0,1,-27996
MD,1985023,976414,10,0,1008609
MA,2382202,1167202,11,0,1215000
MI,2804040,2649852,16,0,154188
MN,1717077,1484065,10,0,233012
MS,539398,756764,0,6,-217366
MO,1253014,1718736,0,10,-465722
MT,244786,343602,0,3,-98816
NE,374583,556846,0,2,-182263
NE1,132261,180290,0,1,-48029
NE2,176468,154377,1,0,22091
NE3,65854,222179,0,1,-156325
NV,703486,669890,6,0,33596
NH,424937,365660,4,0,59277
NJ,2608400,1883313,14,0,725087
NM,501614,401894,5,0,99720
NY,5244886,3251997,29,0,1992889
NC,2684292,2758775,0,15,-74483
ND,115042,235751,0,3,-120709
OH,2679165,3154834,0,18,-475669
OK,503890,1020280,0,7,-516390
OR,1340383,958448,7,0,381935
PA,3458229,3377674,20,0,80555
RI,307486,199922,4,0,107564
SC,1091541,1385103,0,9,-293562
SD,150471,261043,0,3,-110572
TN,1143711,1852475,0,11,-708764
TX,5259126,5890347,0,38,-631221
UT,560282,865140,0,6,-304858
VT,242820,112704,3,0,130116
VA,2413568,1962430,13,0,451138
WA,2369612,1584651,12,0,784961
WV,235984,545382,0,5,-309398
WI,1630866,1610184,10,0,20682
WY,73491,193559,0,3,-120068
