combo,votes,biden,trump,result
NV,6,231,307,Trump
WI,10,235,303,Trump
AZ,11,236,302,Trump
MI,15,240,298,Trump
NV and WI,16,241,297,Trump
GA,16,241,297,Trump
NC,16,241,297,Trump
NV and AZ,17,242,296,Trump
PA,19,244,294,Trump
NV and MI,21,246,292,Trump
WI and AZ,21,246,292,Trump
NV and GA,22,247,291,Trump
NV and NC,22,247,291,Trump
NV and PA,25,250,288,Trump
WI and MI,25,250,288,Trump
WI and GA,26,251,287,Trump
WI and NC,26,251,287,Trump
AZ and MI,26,251,287,Trump
AZ and GA,27,252,286,Trump
AZ and NC,27,252,286,Trump
"NV, WI and AZ",27,252,286,Trump
WI and PA,29,254,284,Trump
AZ and PA,30,255,283,Trump
GA and MI,31,256,282,Trump
MI and NC,31,256,282,Trump
"NV, WI and MI",31,256,282,Trump
GA and NC,32,257,281,Trump
"NV, WI and GA",32,257,281,Trump
"NV, WI and NC",32,257,281,Trump
"NV, AZ and MI",32,257,281,Trump
"NV, AZ and GA",33,258,280,Trump
"NV, AZ and NC",33,258,280,Trump
MI and PA,34,259,279,Trump
GA and PA,35,260,278,Trump
PA and NC,35,260,278,Trump
"NV, WI and PA",35,260,278,Trump
"NV, AZ and PA",36,261,277,Trump
"WI, AZ and MI",36,261,277,Trump
"NV, GA and MI",37,262,276,Trump
"NV, MI and NC",37,262,276,Trump
"WI, AZ and GA",37,262,276,Trump
"WI, AZ and NC",37,262,276,Trump
"NV, GA and NC",38,263,275,Trump
"NV, MI and PA",40,265,273,Trump
"WI, AZ and PA",40,265,273,Trump
"NV, GA and PA",41,266,272,Trump
"NV, PA and NC",41,266,272,Trump
"WI, GA and MI",41,266,272,Trump
"WI, MI and NC",41,266,272,Trump
"NV, WI, AZ and MI",42,267,271,Trump
"WI, GA and NC",42,267,271,Trump
"AZ, GA and MI",42,267,271,Trump
"AZ, MI and NC",42,267,271,Trump
"NV, WI, AZ and GA",43,268,270,Trump
"NV, WI, AZ and NC",43,268,270,Trump
"AZ, GA and NC",43,268,270,Trump
"WI, MI and PA",44,269,269,Tie
"WI, GA and PA",45,270,268,Biden
"WI, PA and NC",45,270,268,Biden
"AZ, MI and PA",45,270,268,Biden
"NV, WI, AZ and PA",46,271,267,Biden
"AZ, GA and PA",46,271,267,Biden
"AZ, PA and NC",46,271,267,Biden
"NV, WI, GA and MI",47,272,266,Biden
"NV, WI, MI and NC",47,272,266,Biden
"GA, MI and NC",47,272,266,Biden
"NV, WI, GA and NC",48,273,265,Biden
"NV, AZ, GA and MI",48,273,265,Biden
"NV, AZ, MI and NC",48,273,265,Biden
"NV, AZ, GA and NC",49,274,264,Biden
"NV, WI, MI and PA",50,275,263,Biden
"GA, MI and PA",50,275,263,Biden
"MI, PA and NC",50,275,263,Biden
"NV, WI, GA and PA",51,276,262,Biden
"NV, WI, PA and NC",51,276,262,Biden
"NV, AZ, MI and PA",51,276,262,Biden
"GA, PA and NC",51,276,262,Biden
"NV, AZ, GA and PA",52,277,261,Biden
"NV, AZ, PA and NC",52,277,261,Biden
"WI, AZ, GA and MI",52,277,261,Biden
"WI, AZ, MI and NC",52,277,261,Biden
"NV, GA, MI and NC",53,278,260,Biden
"WI, AZ, GA and NC",53,278,260,Biden
"WI, AZ, MI and PA",55,280,258,Biden
"NV, GA, MI and PA",56,281,257,Biden
"NV, MI, PA and NC",56,281,257,Biden
"WI, AZ, GA and PA",56,281,257,Biden
"WI, AZ, PA and NC",56,281,257,Biden
"NV, GA, PA and NC",57,282,256,Biden
"WI, GA, MI and NC",57,282,256,Biden
"NV, WI, AZ, GA and MI",58,283,255,Biden
"NV, WI, AZ, MI and NC",58,283,255,Biden
"AZ, GA, MI and NC",58,283,255,Biden
"NV, WI, AZ, GA and NC",59,284,254,Biden
"WI, GA, MI and PA",60,285,253,Biden
"WI, MI, PA and NC",60,285,253,Biden
"NV, WI, AZ, MI and PA",61,286,252,Biden
"WI, GA, PA and NC",61,286,252,Biden
"AZ, GA, MI and PA",61,286,252,Biden
"AZ, MI, PA and NC",61,286,252,Biden
"NV, WI, AZ, GA and PA",62,287,251,Biden
"NV, WI, AZ, PA and NC",62,287,251,Biden
"AZ, GA, PA and NC",62,287,251,Biden
"NV, WI, GA, MI and NC",63,288,250,Biden
"NV, AZ, GA, MI and NC",64,289,249,Biden
"NV, WI, GA, MI and PA",66,291,247,Biden
"NV, WI, MI, PA and NC",66,291,247,Biden
"GA, MI, PA and NC",66,291,247,Biden
"NV, WI, GA, PA and NC",67,292,246,Biden
"NV, AZ, GA, MI and PA",67,292,246,Biden
"NV, AZ, MI, PA and NC",67,292,246,Biden
"NV, AZ, GA, PA and NC",68,293,245,Biden
"WI, AZ, GA, MI and NC",68,293,245,Biden
"WI, AZ, GA, MI and PA",71,296,242,Biden
"WI, AZ, MI, PA and NC",71,296,242,Biden
"NV, GA, MI, PA and NC",72,297,241,Biden
"WI, AZ, GA, PA and NC",72,297,241,Biden
"NV, WI, AZ, GA, MI and NC",74,299,239,Biden
"WI, GA, MI, PA and NC",76,301,237,Biden
"AZ, GA, MI, PA and NC",77,302,236,Biden
"NV, WI, AZ, GA, MI and PA",77,302,236,Biden
"NV, WI, AZ, MI, PA and NC",77,302,236,Biden
"NV, WI, AZ, GA, PA and NC",78,303,235,Biden
"NV, WI, GA, MI, PA and NC",82,307,231,Biden
"NV, AZ, GA, MI, PA and NC",83,308,230,Biden
"WI, AZ, GA, MI, PA and NC",87,312,226,Biden
"NV, WI, AZ, GA, MI, PA and NC",93,318,220,Biden
