AmGreatness/NSOR 10/22 - 10/26	600 LV	4.0	47	47	tie dye
AmGreatness/NSOR 7/20 - 7/23	600 LV	4.0	47	45	 Trump +2
AmGreatness/TIPP 10/7 - 10/9	803 LV	3.5	49	48	Trump +1
Atlas Intel 10/27 - 10/30	1738 LV	2.0	49	48	Trump +1
Atlas Intel 9/20 - 9/25	1775 LV	2.0	51	48	 Trump +3
Bloomberg 10/16 - 10/20	866 LV	3.0	48	50	Harris +2
Bloomberg 9/19 - 9/25	924 LV	3.0	46	51	 Harris +5
CBS News 10/22 - 10/28	1273 LV	3.9	49	49	tie dye 
CBS News 9/3 - 9/6	1085 LV	3.4	50	50	 Tie 0
CNN* 10/23 - 10/28	819 LV	4.7	48	48	tie dye 
CNN* 8/23 - 8/29	789 LV	4.7	47	47	 Tie 0
Cook Political Report 7/26 - 8/2	411 LV	—	48	49	 Harris +1
Cook Political Report 9/19 - 9/25	474 LV	—	49	50	 Harris +1
Emerson 10/21 - 10/22	860 LV	3.3	49	48	Trump +1
Emerson 8/13 - 8/14	1000 LV	3.0	49	48	 Trump +1
Emerson 9/27 - 9/28	1000 LV	3.0	48	48	 Tie 0
FOX News 10/24 - 10/28	1057 LV	3.0	50	49	Trump +1
FOX News 9/20 - 9/24	775 LV	3.5	49	49	 Tie 0
Fabrizio/Anzalone 9/17 - 9/24	600 LV	4.0	47	50	 Harris +3
Franklin & Marshall 10/9 - 10/20	583 LV	5.0	50	49	Trump +1
InsiderAdvantage 10/26 - 10/27	800 LV	3.5	48	47	Trump +1
InsiderAdvantage 10/7 - 10/8	800 LV	3.5	49	47	Trump +2
InsiderAdvantage 8/18 - 8/19	800 LV	3.5	47	46	 Trump +1
InsiderAdvantage 9/14 - 9/15	800 LV	3.5	50	48	 Trump +2
Marist 10/27 - 10/30	1400 LV	3.1	48	50	Harris +2
Marist 9/12 - 9/17	1476 LV	3.2	49	49	 Tie 0
Muhlenberg College 9/16 - 9/19	450 LV	6.0	48	48	 Tie 0
NY Times/Siena 10/7 - 10/10	857 LV	—	47	50	Harris +3
NY Times/Siena 8/6 - 8/9	693 LV	4.2	46	50	 Harris +4
NY Times/Siena 9/11 - 9/16	1082 LV	3.8	46	50	 Harris +4
PPP (D) 7/29 - 7/30	627 LV	3.9	48	47	 Trump +1
Quinnipiac 10/24 - 10/28	2186 LV	2.1	49	47	Trump +2
Quinnipiac 10/3 - 10/7	1412 LV	3.1	47	49	Harris +2
Quinnipiac 8/8 - 8/12	1738 LV	2.4	47	50	 Harris +3
Quinnipiac 9/12 - 9/16	1331 LV	2.7	46	51	 Harris +5
Rasmussen Reports 10/25 - 10/28	849 LV	3.0	49	47	Trump +2
Rasmussen Reports 10/9 - 10/13	1072 LV	3.0	50	47	Trump +3
Rasmussen Reports 8/13 - 8/17	1312 LV	—	47	46	 Trump +1
Rasmussen Reports 9/19 - 9/22	1202 LV	3.0	48	48	 Tie 0
Susquehanna 9/16 - 9/22	700 LV	3.7	46	46	 Tie 0
The Hill/Emerson 10/5 - 10/8	1000 LV	3.0	49	48	Trump +1
The Hill/Emerson 8/25 - 8/28	950 LV	3.1	48	48	 Tie 0
The Hill/Emerson 9/15 - 9/18	880 LV	3.2	48	47	 Trump +1
Trafalgar Group (R) 8/28 - 8/30	1082 LV	2.9	47	45	 Trump +2
Trafalgar Group (R) 8/6 - 8/8	1000 LV	2.9	46	44	 Trump +2
Trafalgar Group (R) 9/26 - 9/29	1090 LV	2.9	48	45	 Trump +3
UMass Lowell 9/11 - 9/19	800 LV	4.0	46	48	 Harris +2
USA Today/Suffolk 10/27 - 10/30	500 LV	4.4	49	49	tie dye
USA Today/Suffolk 9/11 - 9/14	500 LV	4.4	46	49	 Harris +3
Washington Post 10/26 - 10/30	1204 LV	3.1	47	48	Harris +1
Washington Post 9/12 - 9/16	1003 LV	3.6	48	48	 Tie 0
co/efficient 9/4 - 9/6	889 LV	3.3	48	46	 Trump +2
