st,biden_pop,trump_pop,margin,biden_col,trump_col
AK,153778,189951,-36173,0,3
AL,849624,1441170,-591546,0,9
AR,423932,760647,-336715,0,6
AZ,1672143,1661686,10457,11,0
CA,11110639,6006518,5104121,54,0
CO,1804352,1364607,439745,10,0
CT,1080831,714717,366114,7,0
DC,317323,18586,298737,3,0
DE,296268,200603,95665,3,0
FL,5297045,5668731,-371686,0,30
GA,2473633,2461854,11779,16,0
HI,366130,196864,169266,4,0
IA,759061,897672,-138611,0,6
ID,287021,554119,-267098,0,4
IL,3471915,2446891,1025024,19,0
IN,1242498,1729857,-487359,0,11
KS,570323,771406,-201083,0,6
KY,772474,1326646,-554172,0,8
LA,856034,1255776,-399742,0,8
MA,2382202,1167202,1215000,11,0
MD,1985023,976414,1008609,10,0
ME,435072,360737,74335,1,0
ME1,266376,164045,102331,1,0
ME2,168696,196692,-27996,0,2
MI,2804040,2649852,154188,15,0
MN,1717077,1484065,233012,10,0
MO,1253014,1718736,-465722,0,10
MS,539398,756764,-217366,0,6
MT,244786,343602,-98816,0,4
NC,2684292,2758775,-74483,0,16
ND,115042,235751,-120709,0,3
NE,374583,556846,-182263,0,1
NE1,132261,180290,-48029,0,1
NE2,176468,154377,22091,1,0
NE3,65854,222179,-156325,0,2
NH,424937,365660,59277,4,0
NJ,2608400,1883313,725087,14,0
NM,501614,401894,99720,5,0
NV,703486,669890,33596,6,0
NY,5244886,3251997,1992889,28,0
OH,2679165,3154834,-475669,0,17
OK,503890,1020280,-516390,0,7
OR,1340383,958448,381935,8,0
PA,3458229,3377674,80555,19,0
RI,307486,199922,107564,4,0
SC,1091541,1385103,-293562,0,9
SD,150471,261043,-110572,0,3
TN,1143711,1852475,-708764,0,11
TX,5259126,5890347,-631221,0,40
UT,560282,865140,-304858,0,6
VA,2413568,1962430,451138,13,0
VT,242820,112704,130116,3,0
WA,2369612,1584651,784961,12,0
WI,1630866,1610184,20682,10,0
WV,235984,545382,-309398,0,4
WY,73491,193559,-120068,0,3
